,,,,,,,,,,,,,,,,,,,
1,Unit Listing,,,,,,,,Specifications,,,,,,,,Manufacturer,,Notes
2,Brand,Series,,,Wattages + Links,Tier,Year,,Size,ATX Ver.,Input Range,Modularity,Efficiency,Topology,,,ODM,Platform Code,Notes
185,,,,10 CM,400-700W,B-,2016,,ATX,ATX 2.x,Full,Semi,S,ACRF,SR,DC-DC,FSP,Heavily modified Raider,"Weak 3.3V transient response, mediocre electrical performance, and claimed rifle bearing but yet to be proven."
186,,,,11,300/350W,D-,2018,,ATX,ATX 2.x,Full,No,B,DF,PR,GR,FSP,EPN,
187,,,,,400-700W,B,2018,,ATX,ATX 2.x,Full,No,G,ACRF,SR,DC-DC,FSP,Heavily modified Raider,
188,,,,11 CM,400-700W,B,2018,,ATX,ATX 2.x,Full,Semi,G,ACRF,SR,DC-DC,FSP,Heavily modified Raider,
189,,,,11 FM,550/650/750W,B+,2018,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,Custom,
190,,,,,850/1000W,A,2018,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,HEC,Custom,
191,,,,12 M,550-1200W,A,2023,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,HEC,Custom,Not to be confused with the downgraded non-modular Pure Power 12.
192,,,,13 M,550/650W,B+,2025,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,FSP,Custom,"85C bulk caps, excellent noise profile."
193,,,,,750/850W,A,2025,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,FSP,Custom,Excellent noise profile.
194,,,,,1000W,A-,2025,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,FSP,Custom,Poor excursion response in the 200% excursion test; platform is being pushed close to its limits. Excellent noise profile.
195,,SFX-L Power,,,500/600W,B,2017,,SFX-L,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,High Power,Custom,Custom be quiet! rifle bearing fan.
196,,SFX Power 3,,,300/450W,C,2021,,SFX,ATX 2.x,Full,No,B,DF,SR,DC-DC,FSP,FSP-50SAC,
197,,Straight Power,11,Gold,450/550/650W,A,2018,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,FSP,Custom,
198,,,,,750-1000W,A,2018,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,FSP,Custom,
199,,,,Platinum,550/650/750W,A,2018,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,FSP,Custom,
200,,,,,850-1200W,A,2018,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,FSP,Hydro PTM Pro high-wattage,
201,,System Power,9,,400-700W,C-,2018,,ATX,ATX 2.x,230V,No,B,DF,PR,DC-DC,HEC,CM Masterwatt-ish,
202,,,9 CM,,400-700W,C-,2018,,ATX,ATX 2.x,230V,Semi,B,DF,PR,DC-DC,HEC,CM Masterwatt-ish,
203,,,10,Bronze,450-750W,E,2022,,ATX,ATX 2.x,230V,No,B,DF,PR,DC-DC,HEC,,"Terrible ripple suppression, especially on 12V (well over 100mV under full load), OCP is not set properly, low efficiency, low quality fan."
204,,,,Gold,850W,C+,2022,,ATX,ATX 2.x,230V,No,G,LLC,SR,DC-DC,HEC,,
205,,,,U,550-750W,E,2023,,ATX,ATX 2.x,Full,No,B,DF,PR,DC-DC,HEC,,"Looks exactly the same as the regular System Power 10 internally. Unless later testing proves the above issues are not present, detier to E."
206,,,B9,,300/350W,E,2018,,ATX,ATX 2.x,230V,No,B,DF,PR,GR,HEC?,,
207,,,U9,,400/500/600W,C,2019,,ATX,ATX 2.x,Full,No,B,DF,PR,DC-DC,CWT,GPN,
208,,,,,700W,C,2019,,ATX,ATX 2.x,Full,No,B,DF,SSR,DC-DC,CWT,GPN,
209,,,,,,,,,,,,,,,,,,,
210,Bitfenix,BFG,,,550/650W,B,2023,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,GPX,
211,,BPA,,,400/500/600W,E,2015,,ATX,ATX 2.x,230V,No,W,DF,PR,GR,CWT,GPM,
212,,BPA-U,,,400/500/600W,E,2015,,ATX,ATX 2.x,Full,No,W,DF,PR,GR,CWT,GPM,
213,,Formula,,Gold,450-750W,A,2017,,ATX,ATX 2.x,Full,No,G,LLC,SR,DC-DC,CWT,Modified GPS,"Design modified for multiple 12V rails: 3 on ≤550W, 4 on ≥650W"
214,,,,Bronze,400-700W,C,2016,,ATX,ATX 2.x,Full,No,B,DF,SSR,DC-DC,CWT,Modified CSB,
215,,Whisper M,,,450-850W,A,2016,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,GPU,
216,,,,,,,,,,,,,,,,,,,
217,Chieftec/Chieftronic,A-80,,CTG-80P (Old),450/500W,E,2010,,ATX,ATX 2.x,230V,No,N,DF,PR,GR,High Power,NO-703,"""85% 230V only"", ketchup and mustard cables. Outdated and no official 80+ certification, only on the tier list since it's still on their website."
218,,,,,550W,E,2010,,ATX,ATX 2.x,230V,No,N,DF,PR,GR,High Power,,
219,,,,,650W,E,2010,,ATX,ATX 2.x,230V,No,N,DF,PR,GR,High Power,NO-761,
220,,,,CTG-C (New),550/650/750W,E,2012,,ATX,ATX 2.x,230V,Semi,N,DF,PR,DMA,High Power,NO-720A,
221,,A-90,,GDP-C,550/650/750W,C-,2015,,ATX,ATX 2.x,230V,Semi,N,DF,SR,DC-DC,CWT,GPN,"""90% 230V only"", claims meeting 80+ Gold without certifying. No direct transient response testing but platform is well reviewed."
222,,Atmos,,CPX-FC,750/850W,A-,2023,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,Andyson,PAD35,Platform is well reviewed although no direct transient response data.
223,,Compact (SFX),,CSN-C,450/550/650W,C-,2016,,SFX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,CSN,"Platform is somewhat mediocre, no direct transient response testing available and not the best choice of capacitors."
224,,Core,,BBS-S,500/600/700W,C+,2016,,ATX,ATX 2.x,Full,No,G,LLC,SR,DC-DC,CWT,GPS,
225,,Eco,,GPE-S,400-700W,F,2016,,ATX,ATX 2.x,230V,No,N,DF,PR,GR,CWT,GPE?,"""85% 230V only"", ketchup and mustard cables, not independently regulated. Doesn't have OCP according to this review."
226,,Element,,ELP-S,350-700W,F,2017,,ATX,ATX 2.x,230V,No,B,DF,PR,GR,CWT,GPM,Doesn't claim OCP.
227,,Eon,,ZPU-S,400-700W,E,2023,,ATX,ATX 2.x,230V,No,W,DF,PR,GR,Andyson,Z8,Voltage regulation is out of ATX specifications on the minor rails; also not independently regulated.
228,,I-Arena (OEM/SI),,GPA-S,550-700W,F,2011,,ATX,ATX 2.x,230V,No,N,DF,PR,GR,CWT,GPA?,"Fake 85% efficiency label, black on yellow label; it's also old. Not certain on topology but not recommendable regardless. See review here. No OCP."
229,,,,GPA-S8,350-500W,F,2011,,ATX,ATX 2.x,230V,No,N,DF,PR,GR,CWT,GPA?,Yellow on black label; no 80+ certification and aging. Not certain on topology but not recommendable regardless. See review here. No OCP.
230,,,,GPB-S,350-500W,F,2020,,ATX,ATX 2.x,230V,No,N,DF,PR,GR,CWT,GPB,Blue label. No OCP.
231,,,,GPC-S,400-700W,F,2016,,ATX,ATX 2.x,230V,No,N,DF,PR,GR,CWT,GPC?,"Fake 80+ 230V only certification label, ketchup and mustard cables, not independently regulated. White label. No OCP."
232,,Navitas,,GPM-C,650/750/850W,E,2012,,ATX,ATX 2.x,Full,Semi,G,DF,SSR,DC-DC,CWT,PUQ,Electrical performance is decent (although no transient response data) but simply not recommendable due to age.
233,,,,,1250W,E,2011,,ATX,ATX 2.x,Full,Semi,G,LLC,SSR,DC-DC,CWT,PUO,Only basic voltage regulation and ripple data found here. Not recommendable due to age; only kept for legacy purposes (still on website.)
234,,Photon,Bronze,CTG-C-RGB,650/750W,E,2019,,ATX,ATX 2.x,230V,Semi,N,DF,PR,GR,High Power,NO-761,
235,,,Gold,GDP-C-RGB,650/750W,F,2019,,ATX,ATX 2.x,230V,Semi,N,DF,SR,DC-DC,CWT,GPN,Protections don't kick in nearly in time before the voltage on the minor rails falls out of spec under ~108% overload.
236,,Polaris,-,PPS-FC,550/650/750W,B-,2019,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,High Power,NO-817,"Both EPS connectors share a cable, poor regulation and transient response on minor rails; only a 2 year warranty."
237,,,,,850/1050/1250W,B-,2021,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,High Power,NO-815,Decent electrical performance but OTP is either not present or set too high (>200°C ) which is useless. See testing here. 2 year warranty.
238,,,ATX 3.0,PPS-FC-A3,850/1050/1250W,B-,2024,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,High Power,NO-815,Fundamentally a Polaris ATX 3.0 refresh. Load regulation is somewhat subpar on the 1050W model.
239,,Proton,,BDF-S,400/500/600W,C-,2017,,ATX,ATX 2.x,Full,No,B,DF,SR,DC-DC,High Power,NO-799,"Sleeve bearing fan, during OPP testing at around 30% of the 500W model do the minor rail falls out of ATX specification."
240,,,,BDF-C,650/750W,C-,2011,,ATX,ATX 2.x,Full,Full,B,DF,PR,DC-DC,High Power,NO-790,"Receives a ""-"" subtier due to its age. Only kept for legacy purposes as it is still listed on Chieftec's website."
241,,,,,850/1000W,C-,2014,,ATX,ATX 2.x,Full,Full,B,DF,SR,DC-DC,High Power,NO-768,"OPP is functional but offers only a 7% increase over the nominal value, beyond which the rails fall out of ATX spec for the 1000W model."
242,,PowerPlay (GPU-FC),,Gold,550/650/750W,A+,2020,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,GPR,
243,,,,Platinum,850/1050/1200W,A+,2020,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,CWT,CST,Semi-digital
244,,PowerUp,,,750/850W,B-,2021,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,GPX,"A few samples of the base platform died when subjected to sub-90VAC stress tests per JonnyGuru. Proceed with caution under 120VAC, especially in areas prone to brownouts."
245,,,,,550/650W,B,2021,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,GPX,
246,,Silicon,,,650/750W,C-,2018,,ATX,ATX 2.x,Full,Full,B,DF,PR,DC-DC,High Power,NO-790,
247,,,,,850/1000W,C-,2018,,ATX,ATX 2.x,Full,Full,B,DF,SR,DC-DC,High Power,NO-768,
248,,Smart,,GPS-A8,350-500W,E,2014,,ATX,ATX 2.x,230V,No,N,DF,PR,GR,CWT,GPA,
249,,,,,550-700W,E,2014,,ATX,ATX 2.x,230V,No,,DF,PR,GR,CWT,GPM,
250,,,,GPS-C,450-750W,C,2016,,ATX,ATX 2.x,Full,No,G,LLC,SR,DC-DC,CWT,GPS,
251,,,,BFX-BS,350/450W,C-,2021,,SFX,ATX 2.x,Full,No,B,DF,PR,DC-DC,CWT,GPH,
252,,,,SFX-BS,350/450W,E,2014,,SFX,ATX 2.x,230V,No,W,DF,PR,GR,High Power,NO-754,
253,,,,SFX-GDC,500W,C,2015,,SFX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,High Power,NO-770,
254,,SteelPower,,BDK-FC,550/650/750W,C,2021,,ATX,ATX 2.x,Full,Full,B,LLC,SR,DC-DC,CWT,GPQ,
255,,Task,,TPS-S,400-700W,E,2017,,ATX,ATX 2.x,Full,No,B,DF,PR,GR,CWT,GPM,
256,,Value,,APB-B8,400-700W,E,2016,,ATX,ATX 2.x,230V,No,W,DF,PR,GR,CWT,GPA,
257,,Vega,Non-Modular,PPG-S,750/850W,B+,2024,,ATX,ATX 3.x,Full,No,G,LLC,SR,DC-DC,High Power,NO-832D,
258,,,Modular (M),PPG-C,750/850W,B+,2024,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,High Power,NO-832D,
259,,Vita,,BPX-S,750/850W,C-,2024,,ATX,ATX 2.x,Full,No,B,DF,SSR,DC-DC,Andyson,P37,
260,,,,,,,,,,,,,,,,,,,
261,Cooler Master,B V2,,,400-700W,E,2015,,ATX,ATX 2.x,230V,No,N,DF,PR,GR,CWT,GPM,Not 100% sure on platform
262,,Elite,,V3,300-600W,E,2019,,ATX,ATX 2.x,230V,No,N,DF,PR,GR,Hui Cheng,Same as Zalman LX,
263,,,,V4,300-600W,E,2021,,ATX,ATX 2.x,230V,No,W,DF,PR,GR,Hui Cheng,Elite V3 (upd. to 80+ White),
264,,Elite NEX 230V,,,400-800W,E,2023,,ATX,ATX 2.x,230V,No,W,DF,PR,GR,CWT,GPM,
265,,G,,Gold,500-700/800W,B-,2021,,ATX,ATX 2.x,Full,No,G,LLC,SR,DC-DC,XHY,2008,
266,,,,Gold V2,550/650/750W,B,2024,,ATX,ATX 3.x,Full,No,G,LLC,SR,DC-DC,Gospower,G1208 mod. upd. to ATX 3.1,
267,,GX,"Bronze (MPX, 2020)",,450-650W,B+,2020,,ATX,ATX 2.x,Full,No,B,LLC,SR,DC-DC,Gospower,G1208,
268,,,Gold,Non-Mod.,550-850W,B+,2020,,ATX,ATX 2.x,Full,Semi,G,LLC,SR,DC-DC,XHY,1908,
269,,,,Full Mod.,550-850W,B+,2020,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,XHY,1908,
270,,,,,1050/1200W,B+,2021,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,XHY,2012,
271,,,,V2 Full Mod.,1050/1250W,B+,2023,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,XHY,2012 upd. to ATX 3.0,
272,,,,ATX 3.0,1050/1250W,B+,2023,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,XHY,2012 upd. to ATX 3.0,
273,,,,ATX 3.1,750-1250W,B+,2023,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,XHY,2012 upd. to ATX 3.1,
274,,,CM Storm Edition,,650/750W,C,2016,,ATX,ATX 2.x,Full,No,B,DF,SSR,DC-DC,CWT,GPN,
275,,GX II Gold ATX 3.0,,,650-1250W,B+,2023,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,Lite-on,Custom,Very similar to the GX III that superseded it.
276,,GX III Gold ATX 3.1,,,650-1250W,B+,2023,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,Lite-on,Custom,"GX III ATX 3.0, but upd. to ATX 3.1. 1050W/1250W use Hong Hua FDB fan; 650-850W use Yate Loon rifle-bearing. Has purple heatsinks for glam."
277,,Hyper White,,,400/500/600W,E,2019,,ATX,ATX 2.x,Full,No,W,DF,PR,GR,Hui Cheng,Similar to Elite V4,Basically Elite V4 but full range
278,,M2000 Platinum,,,2000W,A,2022,,ATX,ATX 2.x,230V,Full,P,LLC,SR,DC-DC,Enhance,,Same platform as SilverStone HELA 2050 Platinum.
279,,Masterwatt,Bronze,,450-750W,C,2017,,ATX,ATX 2.x,Full,Semi,B,DF,SR,DC-DC,HEC,,
280,,,TUF Gaming,,450-750W,C,2018,,ATX,ATX 2.x,Full,Semi,B,DF,SR,DC-DC,HEC,,Identical internally to the MasterWatt Bronze. Only difference is the exterior appearance.
281,,,Lite / Lite Full Modular,,400-700W,F,2016,,ATX,ATX 2.x,Full,No,W,DF,PR,GR,Enhance,,Complete e-waste. Extremely poor build and component quality all around.
282,,,Maker,,1200/1500W,B+,2016,,ATX,ATX 2.x,Full,Full,T,LLC,SR,DC-DC,Enhance,Custom,
283,,,Maker MiJ,,1200W,A,2017,,ATX,ATX 2.x,Full,Full,T,LLC,SR,DC-DC,Murata,Custom,Extremely high build quality; made in Japan; decent performance.
284,,MWE,,White,400-550W,D-,2019,,ATX,ATX 2.x,Full,No,W,DF,PR,GR,CWT,GPB,
285,,,,230V White,400-550W,D-,2019,,ATX,ATX 2.x,230V,No,W,DF,PR,GR,CWT,GPB,
286,,,,Bronze,450/500/550W,D-,2019,,ATX,ATX 2.x,Full,No,B,DF,PR,GR,HEC,,
287,,,,,600/650W,C,2019,,ATX,ATX 2.x,Full,No,B,DF,SSR,DC-DC,HEC,,
288,,,,230V Bronze,450/500/550W,D-,2019,,ATX,ATX 2.x,230V,No,B,DF,PR,GR,HEC,,
289,,,,,600/650W,C,2019,,ATX,ATX 2.x,230V,No,B,DF,SSR,DC-DC,HEC,,
290,,,,Gold Non Mod.,550-850W,B,2019,,ATX,ATX 2.x,Full,No,G,LLC,SR,DC-DC,XHY,1408,
291,,,,Gold Modular,550-850W,B,2019,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,XHY,1408,
292,,MWE V2,,White,450-750W,B,2021,,ATX,ATX 2.x,Full,No,W,LLC,SR,DC-DC,Gospower,G1208,
293,,,,230V White,450-750W,C,2021,,ATX,ATX 2.x,230V,No,W,LLC,SR,DC-DC,Gospower,G1208,
294,,,,Bronze,450-750W,B,2021,,ATX,ATX 2.x,Full,No,B,LLC,SR,DC-DC,Gospower,G1208,
295,,,,230V Bronze,450-750W,C,2021,,ATX,ATX 2.x,230V,No,B,LLC,SR,DC-DC,Gospower,G1208,
296,,,,Gold Non Mod.,550-850W,B+,2021,,ATX,ATX 2.x,Full,No,G,LLC,SR,DC-DC,XHY,1908,
297,,,,Gold Full Mod.,550-850W,B+,2021,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,XHY,1908,
298,,,,,1050/1250W,B+,2021,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,XHY,2012,
299,,,,Gold ATX 3.0,550-850W,B+,2023,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,XHY,1908 upd. to ATX 3.0,
300,,,,,1050/1250W,B+,2023,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,XHY,2012 upd. to ATX 3.0,
301,,,,Gold ATX 3.1,550-850W,B+,2024,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,XHY,1908 upd. to ATX 3.1,
302,,,,,1050/1250W,B+,2024,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,XHY,2012 upd. to ATX 3.1,
303,,MWE V3 ATX 3.1,,230V Bronze,550/650W,C,2024,,ATX,ATX 3.x,230V,No,B,LLC,SR,DC-DC,Gospower,G1208 upd. to ATX 3.1,Basically G1208 updated to ATX 3.1
304,,,,,750W,C-,2024,,ATX,ATX 3.x,230V,No,B,LLC,SR,DC-DC,Gospower,G1208 upd. to ATX 3.1,Basically G1208 updated to ATX 3.1; broke during 5V SCP. Possible bad sample?
305,,,,Bronze,550/650/750W,B,2024,,ATX,ATX 3.x,Full,No,B,LLC,SR,DC-DC,Gospower,G1208 upd. to ATX 3.1,Basically G1208 updated to ATX 3.1
306,,,,Gold Modular,750/850W,B+,2024,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,Lite-on,Custom (modified GX III),"GX III w/ upgraded fan (Hong Hua FDB, Yate Loon DBB); no inrush protection (MOV and bypass relay). Ball bearing fans possibly region-specific."
307,,,,Gold Non-Mod.,550-850W,B,2024,,ATX,ATX 3.x,Full,No,G,LLC,SR,DC-DC,Gospower,G1208 mod. upd. to ATX 3.1,"Modified MWE Bronze V3, same as G Gold V2."
308,,Reactor Gold,,,750/850W,B+,2019,,ATX,ATX 2.x,Full,No,G,LLC,SR,DC-DC,XHY,1408,Same as MWE Gold non-modular
309,,"V-Series
""Vanguard""",Gold,V1 (2018),550/650W,B+,2018,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,Chicony,Custom,
310,,,,,750/850W,B+,2018,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,Chicony,"Custom, but different from ^",
311,,,,V2,550-850W,A+,2020,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,Gospower,G1242,"White model available, same internals."
312,,,,"i Multi (""Digital"")",550-850W,A+,2023,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,Chicony,Custom,"""Semi-digital"" - offers digital fan control and monitoring via MasterPlus software; actual components are analog."
313,,,,SFX,650/750/850W,A,2020,,SFX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,Gospower,G1278,
314,,,,SFX ATX 3.0,750/850W,A,2023,,SFX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,Gospower,G1555 (1278 upd. to ATX 3.0),Basically G1278 updated to ATX 3.0
315,,,,SFX ATX 3.1,750/850W,A,2024,,SFX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,Gospower,G1555 rev. 2,Still essentially G1278 with further updates to ATX 3.1
316,,,Platinum,Standard,850-1300W,A,2019,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,Delta,GM,Single/multi-rail switchable.
317,,,,30th Anniversary,1300W,A,2023,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,Delta,GM,"No internal changes, but 1300W only."
318,,,,V2,1100/1300/1600W,A-,2024,,ATX,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,Gospower,G1398 (Custom),"One review showed ripple on the 12V rail at 62mV for the 1600W, other samples were within 50mV. 5VSB OCP is set high."
319,,,,SFX ATX 3.0,1100W,B+,2022,,SFX,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,Sysgration,Custom,
320,,,,,1300W,B-,2022,,SFX,ATX 3.x,230V,Full,P,LLC,SR,DC-DC,Sysgration,Custom,230V input only
321,,X Silent,Edge Plat.,North America,850W,A+,2024,,ATX,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,Cooler Master,Custom,Rated for 850W under 115VAC and advertised as 850W in North America.
322,,,,Global,1100W,A+,2024,,ATX,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,Cooler Master,Custom,"Rated for 1100W under 230VAC, but can still be used under 115VAC for 850W."
323,,,MAX Platinum,,1300W,A+,2024,,ATX,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,Cooler Master,Custom,Same platform as the Edge Platinum but with active cooling; full 1300W rating regardless of input range.
324,,XG,Platinum,,650/750/850W,A+,2021,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,XHY,2011XG (Custom),"Same internals as the Plus Platinum without the screen, ARGB fan, or digital control."
325,,,Plus Platinum,,650/750/850W,A+,2021,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,XHY,2011XG (Custom),"Built-in screen, ARGB fan, and digital fan control and monitoring via MasterPlus software."
326,,,,,,,,,,,,,,,,,,,
327,Corsair,AX (Grey Label),,,850/1000W,A+,2018,,ATX,ATX 2.x,Full,Full,T,LLC,SR,DC-DC,Seasonic,Modified Prime Titanium,Grey label; potential issues with heavy transient loads.
328,,AX-i (Grey Label),,,1600W,A+,2018,,ATX,ATX 2.x,Full,Full,T,LLC,SR,DC-DC,Flextronics,Custom,"Grey label; totem pole PFC, fully digital aside from 5VSB."
329,,CS (Black Label),,,750W,B-,2021,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,HEC,TPK,SI model for Chinese market
330,,CV (Black Label),,,450/550W,D,2019,,ATX,ATX 2.x,Full,No,B,DF,PR,GR,HEC,VS upd. to Bronze,
331,,,,,650/750W,C,2019,,ATX,ATX 2.x,Full,No,B,DF,PR,DC-DC,HEC,Custom,
332,,CX-m,2013 (Green Label),,430/500/600W,E,2013,,ATX,ATX 2.x,Full,Semi,B,DF,PR,GR,CWT,DSA III,"Green ""CX"" lettering on black label. 85C caps all around, 30C rated operating temp, avoid."
333,,,,,750/850W,C-,2013,,ATX,ATX 2.x,Full,Semi,B,DF,SR,DC-DC,CWT,PUQ-B,"Green ""CX"" lettering on black label. Detiered to C- due to age."
334,,,2017 (Gray Label),,450/550/650W,C+,2017,,ATX,ATX 2.x,Full,Semi,B,DF,SR,DC-DC,CWT,Custom,Grey label
335,,,,,750/850W,C+,2017,,ATX,ATX 2.x,Full,Semi,B,DF,SR,DC-DC,CWT,PUQ-B,
336,,,2021 (Black Label),,550/650/750W,C+,2021,,ATX,ATX 2.x,Full,Semi,B,DF,SSR,DC-DC,CWT,CSB-A,
337,,"CX 
(Non-Modular)",2013 (Green Label),,430/500/600W,E,2013,,ATX,ATX 2.x,Full,No,B,DF,PR,GR,CWT,DSA III,"Green ""CX"" lettering on black label. 85C caps all around, 30C rated operating temp, avoid."
338,,,,,750W,C-,2013,,ATX,ATX 2.x,Full,No,B,DF,SR,DC-DC,CWT,PUQ-B,"Green ""CX"" lettering on black label. Detiered to C- due to age."
339,,,2016 (Gray Label),,450-750W,B,2016,,ATX,ATX 2.x,Full,No,B,LLC,SR,DC-DC,CWT,Custom,"Black ""CX"" lettering on gray label; Double-sourced between GW & CWT; technically qualified for 80+ Silver but badged as Bronze."
340,,,,,,B,2016,,ATX,ATX 2.x,Full,No,B,LLC,SR,DC-DC,Great Wall,modified GW-ATXBL,
341,,,2023 (Black Label),,450/550W,D,2024,,ATX,ATX 2.x,Full,No,B,DF,PR,GR,HEC,VS upd. to Bronze,"White ""CX"" lettering on black label; Identical to the CV aside from exterior design."
342,,,,,650/750W,C,2024,,ATX,ATX 2.x,Full,No,B,DF,PR,DC-DC,HEC,Custom,
343,,CX-F RGB,,,550/650/750W,B,2020,,ATX,ATX 2.x,Full,Full,B,LLC,SR,DC-DC,HEC,Custom,Technically 80+ Silver without RGB on
344,,HX,,2017,750/850/1000W,A+,2018,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,CWT,Custom,Gray label. Per-connector 40A OCP when multi rail is enabled
345,,,,,1200W,A+,2018,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,CWT,Custom,
346,,HX-i,,2013,750/850/1000W,A,2013,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,CWT,Custom,Blue label. Tiering is based on electrical performance and should not preclude the usual caveats if buying used power supplies.
347,,,,,1200W,A,2013,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,CWT,Custom,
348,,,,2022,1000W,A+,2022,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,CWT,CTT heavily mod.,"Black label, triangle fan grille. Digital monitoring and semi-passive operation controlled via USB-C connector in software."
349,,,,,1500W,A+,2022,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,CWT,CTT heavily mod.,
350,,,,2023,1000W,A+,2023,,ATX,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,CWT,CTT heavily mod.,Refresh with included 12V-2x6 cable and listed ATX 3.1 compliance. Actual design appears to be the same internally.
351,,,,,1200W,A+,2023,,ATX,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,CWT,CTT heavily mod.,
352,,,,,1500W,A+,2023,,ATX,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,CWT,CTT heavily mod.,
353,,,,2025,1000W,A,2025,,ATX,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,CWT,CTT heavily mod.,
354,,,,,1200W,A+,2025,,ATX,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,CWT,CTT heavily mod.,"Minor changes on the primary side, overall very similar; merely a refresh. Embossed cables instead of flat cables from older generations. (Fancy)"
355,,,,,1500W,A,2025,,ATX,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,CWT,CTT heavily mod.,
356,,RM-e,,2022,750/850/1000W,B+,2022,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,HEC,Custom,"750/850W: 140mm, 1000/1200W: 150mm. 2023 version includes 12VHPWR cable. Early reports of coil whine and premature failures/DOAs, but supposedly fixed."
357,,,,"2023 (""Gen 5"")",750-1200W,B+,2023,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,HEC,Custom,
